base_time,base_x,joint_time,target_pos_0,actual_pos_0,actual_vel_0,target_pos_1,actual_pos_1,actual_vel_1,target_pos_2,actual_pos_2,actual_vel_2,target_pos_3,actual_pos_3,actual_vel_3,target_pos_4,actual_pos_4,actual_vel_4,target_pos_5,actual_pos_5,actual_vel_5,target_pos_6,actual_pos_6,actual_vel_6,target_pos_7,actual_pos_7,actual_vel_7,torque_time,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,contact_time,contact_fx,contact_fy,contact_fz,contact_magnitude
2.752999999999808,0.8501762241550184,,,,,,,,,,,,,,,,,,,,,,,,,,2.752999999999808,0.011786538668316006,0.08310617320878513,0.02438871801143592,-0.39527563223486184,0.0019390643999782219,-0.0018149831053496674,-0.0015298179780226303,0.006325613703711883,2.752999999999808,0.0,0.0,0.0,0.0
2.7539999999998077,0.8507285741330246,,,,,,,,,,,,,,,,,,,,,,,,,,2.7539999999998077,-0.00776196956226061,-0.08007520257321588,0.0313930129982265,0.3941022210865643,0.0013889486597174084,0.00274790270366696,0.0009085112933336784,-0.006066743914853566,2.7539999999998077,0.0,0.0,0.0,0.0
2.7549999999998076,0.8512808968857329,,,,,,,,,,,,,,,,,,,,,,,,,,2.7549999999998076,0.10129361708814086,-0.06967044188619498,-0.04086934175910596,-0.477455134140972,0.09238647358890387,0.04469172399240025,0.0007041443884400413,0.006168100628459986,2.7549999999998076,0.0,0.0,0.0,0.0
2.7559999999998075,0.8518331187710316,,,,,,,,,,,,,,,,,,,,,,,,,,2.7559999999998075,0.043844445892437564,-0.01399841349431348,0.08097214206528797,0.465159620362517,0.028963261103710114,0.004011477677016123,-0.001515318983392511,0.00632200617024186,2.7559999999998075,0.0,0.0,0.0,0.0
2.7569999999998074,0.8523824961067578,,,,,,,,,,,,,,,,,,,,,,,,,,2.7569999999998074,-0.009255165738353364,0.024815513354588932,0.07122297381243081,-0.4658479623412206,0.0071925457063816475,0.0059680557099204,-0.0015778510321559779,-0.003468742979069306,2.7569999999998074,0.0,0.0,0.0,0.0
2.7579999999998073,0.8529319768040219,,,,,,,,,,,,,,,,,,,,,,,,,,2.7579999999998073,0.0118526466198298,-0.04758359130414916,0.06427022589543782,0.4621712965316939,-0.0026603146590611143,-0.0021293716720676044,-0.0014086639701112018,0.004487962929792304,2.7579999999998073,0.0,0.0,0.0,0.0
2.758999999999807,0.8534805349152949,,,,,,,,,,,,,,,,,,,,,,,,,,2.758999999999807,-0.005670882129254151,0.05267117214327732,0.05750216991373168,-0.46393325129068386,0.0007025922352840829,0.00047346068184944126,0.0017952700710025114,-0.004678063691573481,2.758999999999807,0.0,0.0,0.0,0.0
2.759999999999807,0.8540298466958801,,,,,,,,,,,,,,,,,,,,,,,,,,2.759999999999807,0.10369251092937666,-0.22031800072283053,-0.03458961381898337,0.3749774440460778,0.09747496093753454,0.049177995838826365,0.0014194916869174879,0.0044972131483521196,2.759999999999807,0.0,0.0,0.0,0.0
2.760999999999807,0.8545786711119082,,,,,,,,,,,,,,,,,,,,,,,,,,2.760999999999807,0.05319455227770285,0.12910151192166713,0.07704770299156377,-0.38925310373119715,0.029797725131825926,0.001867906600312507,-0.0011892456186577273,0.008792525352611495,2.760999999999807,0.0,0.0,0.0,0.0
2.761999999999807,0.8551250573076697,,,,,,,,,,,,,,,,,,,,,,,,,,2.761999999999807,-0.018306989323330348,-0.11574355624845065,0.06114395036113954,0.3930406308744696,0.005436834558258874,0.006953744151917562,-0.0013320457458074733,-0.006037703320075739,2.761999999999807,0.0,0.0,0.0,0.0
2.7629999999998067,0.8556713057145418,,,,,,,,,,,,,,,,,,,,,,,,,,2.7629999999998067,0.017002416487132924,0.09378467901615462,0.04381794979409717,-0.3975573522436697,-0.004956952802428649,-0.004527490727733197,-0.001202679064896682,0.006870368530623919,2.7629999999998067,0.0,0.0,0.0,0.0
2.7639999999998066,0.8562170527902615,,,,,,,,,,,,,,,,,,,,,,,,,,2.7639999999998066,-0.009517997681583366,-0.09407885186506648,-0.03968496856667287,0.39877529509873333,-0.0014844176364476659,0.0007388528718761834,0.00226502858960744,-0.007429085977389567,2.7639999999998066,0.0,0.0,0.0,0.0
2.7649999999998065,0.8567633818640059,,,,,,,,,,,,,,,,,,,,,,,,,,2.7649999999998065,0.11073081833883557,-0.08165755879639561,-0.05760819588110341,-0.49595404779238395,0.1030397725149527,0.05071311350389618,0.0018063186053714417,0.006963920986250713,2.7649999999998065,0.0,0.0,0.0,0.0
2.7659999999998064,0.8573096700324367,,,,,,,,,,,,,,,,,,,,,,,,,,2.7659999999998064,0.04309322615962683,-0.003440807876137056,0.10333605789532481,0.48692283689949367,0.02820778477669241,0.0023155102268996195,-0.00115240891178109,0.007009583863949409,2.7659999999998064,0.0,0.0,0.0,0.0
2.7669999999998063,0.8578530216783726,,,,,,,,,,,,,,,,,,,,,,,,,,2.7669999999998063,-0.0038684779239170457,0.003164014897030956,-0.09896010977377774,-0.48678200162252444,0.0031422329843267425,0.004885876048097604,-0.0012909694196566461,-0.0044996872898481035,2.7669999999998063,0.0,0.0,0.0,0.0
2.767999999999806,0.8583968079618876,,,,,,,,,,,,,,,,,,,,,,,,,,2.767999999999806,-0.0010908063885654018,-0.011170898375713167,0.10497540216157178,0.4891900023074023,-0.0058749467529402915,-0.004230710019386419,-0.0011210060123171901,0.005023586115535234,2.767999999999806,0.0,0.0,0.0,0.0
2.768999999999806,0.8589397789396649,,,,,,,,,,,,,,,,,,,,,,,,,,2.768999999999806,-0.00680923255709933,0.019325931223300903,-0.1049149777892366,-0.4881033338982629,-0.0058754665479758385,-0.0011551515313044547,0.002512405881747794,-0.005813978428914259,2.768999999999806,0.0,0.0,0.0,0.0
2.769999999999806,0.8594837770109718,,,,,,,,,,,,,,,,,,,,,,,,,,2.769999999999806,0.106924211365684,-0.20500507727558914,0.002542070312699485,0.38817540586428234,0.10653076960789619,0.053336071866671865,0.002035168082752361,0.004865345072784547,2.769999999999806,0.0,0.0,0.0,0.0
2.770999999999806,0.860027299605959,,,,,,,,,,,,,,,,,,,,,,,,,,2.770999999999806,0.050573471858537535,0.1168976500291711,0.04480742693699513,-0.39898451651621913,0.027045412126528758,0.0005842530599566402,-0.0011816011574004386,0.009505631008830041,2.770999999999806,0.0,0.0,0.0,0.0
2.7719999999998057,0.8605684169734809,,,,,,,,,,,,,,,,,,,,,,,,,,2.7719999999998057,-0.01461693928507568,-0.11272715803942393,-0.037660684523022604,0.4042305685147623,0.001158011675470627,0.005371199986240116,-0.0013231453292089708,-0.007186243979146771,2.7719999999998057,0.0,0.0,0.0,0.0
2.7729999999998056,0.8611095379537196,,,,,,,,,,,,,,,,,,,,,,,,,,2.7729999999998056,0.003835178145319487,0.106916619469001,0.04263589642650376,-0.4029311756995057,-0.008607004304424161,-0.006435359888666392,-0.0006857996862595178,0.0074157129070065,2.7729999999998056,0.0,0.0,0.0,0.0
2.7739999999998055,0.8616504441195099,,,,,,,,,,,,,,,,,,,,,,,,,,2.7739999999998055,-0.017231630901084635,-0.09434102705158798,-0.0400472785410718,0.4090686270814967,-0.008282441983533007,-0.0009287410718664679,0.0026072758649998704,-0.008596459028438733,2.7739999999998055,0.0,0.0,0.0,0.0
2.7749999999998054,0.862191916114753,,,,,,,,,,,,,,,,,,,,,,,,,,2.7749999999998054,0.11668570544614412,-0.10097203743255437,-0.07038947095559306,-0.5,0.1090290817723053,0.05365940306295141,0.002145665804168624,0.007270264068880181,2.7749999999998054,0.0,0.0,0.0,0.0
2.7759999999998053,0.8627335488848022,,,,,,,,,,,,,,,,,,,,,,,,,,2.7759999999998053,0.04264474520355546,0.012570055602200411,0.12214522646140233,0.47628474956464334,0.025843706330486785,0.001162351882707701,-0.0013069792045004801,0.007435773881698928,2.7759999999998053,0.0,0.0,0.0,0.0
2.776999999999805,0.8632721816500981,,,,,,,,,,,,,,,,,,,,,,,,,,2.776999999999805,-0.01032465854405582,-0.006159923035249197,-0.1152846312798225,-0.47210122137361704,-0.0011386139723857502,0.003394023476357111,-0.0014105703373986224,-0.005333304091029116,2.776999999999805,0.0,0.0,0.0,0.0
2.777999999999805,0.8638114971291416,,,,,,,,,,,,,,,,,,,,,,,,,,2.777999999999805,-0.0058891193664802645,0.0040140260136863615,0.12224740682364504,0.47827903480564704,-0.01101245802675912,-0.006069380234804945,-0.0003179142905285379,0.005234143459223806,2.777999999999805,0.0,0.0,0.0,0.0
2.778999999999805,0.8643500545885655,,,,,,,,,,,,,,,,,,,,,,,,,,2.778999999999805,-0.013138216722294382,0.011781862124845777,-0.12038742457181115,-0.4731157113878454,-0.010765154118312026,-0.003207924105829152,0.0027858488830531172,-0.0067698826701275035,2.778999999999805,0.0,0.0,0.0,0.0
2.779999999999805,0.8648898742803307,,,,,,,,,,,,,,,,,,,,,,,,,,2.779999999999805,0.111159168015872,-0.21410368148257747,0.0059070382388131115,0.36418326813052976,0.11068361117565205,0.05612201560911663,0.002306574180975269,0.005045430813869063,2.779999999999805,0.0,0.0,0.0,0.0
2.7809999999998047,0.865429288804903,,,,,,,,,,,,,,,,,,,,,,,,,,2.7809999999998047,0.04944239018673518,0.1233127067849623,0.04776314743810506,-0.3723735657109229,0.02427458712460031,-0.0008630347020191394,-0.0013538703660265418,0.009890850568688376,2.7809999999998047,0.0,0.0,0.0,0.0
2.7819999999998046,0.8659662912356028,,,,,,,,,,,,,,,,,,,,,,,,,,2.7819999999998046,-0.021829701087840638,-0.11100326271122041,-0.040133749324386604,0.3816307141614325,-0.0032260272522983257,0.00404922441793123,-0.001444606723296857,-0.008058283019341495,2.7819999999998046,0.0,0.0,0.0,0.0
2.7829999999998045,0.8665035072917627,,,,,,,,,,,,,,,,,,,,,,,,,,2.7829999999998045,-0.0007574030304885876,0.11086194437615848,0.04685974897492021,-0.37656967617980364,-0.013725251873126254,-0.00831666041602186,4.250323281445353e-05,0.007653547056739327,2.7829999999998045,0.0,0.0,0.0,0.0
2.7839999999998044,0.8670405696580193,,,,,,,,,,,,,,,,,,,,,,,,,,2.7839999999998044,-0.02331800449242307,-0.09078404528866366,-0.04365247478767347,0.38647842163836477,-0.012918070859803432,-0.002822234629145903,0.002896068253314282,-0.009593317368747564,2.7839999999998044,0.0,0.0,0.0,0.0
2.7849999999998043,0.8675784007666568,,,,,,,,,,,,,,,,,,,,,,,,,,2.7849999999998043,0.11874090499151212,-0.1175735989361813,-0.07612898306950329,-0.5,0.1112314936555515,0.05543768564338794,0.002423651107667997,0.007511733656395545,2.7849999999998043,0.0,0.0,0.0,0.0
2.785999999999804,0.8681164671229418,,,,,,,,,,,,,,,,,,,,,,,,,,2.785999999999804,0.04107974636832981,0.02700201653806582,0.13261955856374863,0.49457678196845634,0.022477951070355263,-0.00013111868849624564,-0.001408498012814234,0.007490165938682815,2.785999999999804,0.0,0.0,0.0,0.0
2.786999999999804,0.8686515087898641,,,,,,,,,,,,,,,,,,,,,,,,,,2.786999999999804,-0.01859989200988752,-0.010626313707445822,-0.12557920904190745,-0.48606262510545917,-0.005439322880831911,0.001907857927639034,-0.0014719648784327075,-0.005920520161578707,2.786999999999804,0.0,0.0,0.0,0.0
2.787999999999804,0.8691874853018777,,,,,,,,,,,,,,,,,,,,,,,,,,2.787999999999804,-0.00966661971535152,0.013291206796627271,0.133477759356664,0.49551587172613587,-0.01615675687496363,-0.007729671666175709,0.00034381831516196073,0.005160345937732851,2.787999999999804,0.0,0.0,0.0,0.0
2.788999999999804,0.8697227035380117,,,,,,,,,,,,,,,,,,,,,,,,,,2.788999999999804,-0.019463031998296666,0.010423571297478326,-0.13053991796009928,-0.4864353855855381,-0.014961859982778858,-0.005137800516761537,0.003058353723510317,-0.0074464664714641235,2.788999999999804,0.0,0.0,0.0,0.0
2.7899999999998037,0.8702594220123842,,,,,,,,,,,,,,,,,,,,,,,,,,2.7899999999998037,0.11168149285337339,-0.22281146662315932,0.007989066871562492,0.37218746850664364,0.11082252709212213,0.05705673919785914,0.002567218195852731,0.0049897629824130155,2.7899999999998037,0.0,0.0,0.0,0.0
2.7909999999998036,0.8707957583339995,,,,,,,,,,,,,,,,,,,,,,,,,,2.7909999999998036,0.04578778216458282,0.13319344704785607,0.049217016528463824,-0.377578389210022,0.020511369906638044,-0.002174132618383019,-0.0013944803036641655,0.00997903290192046,2.7909999999998036,0.0,0.0,0.0,0.0
2.7919999999998035,0.8713297393925818,,,,,,,,,,,,,,,,,,,,,,,,,,2.7919999999998035,-0.028792442905366467,-0.11277798105008827,-0.04164927478335967,0.39058384129877544,-0.0076901853640619425,0.0025967355404818535,-0.0014549849152460225,-0.008722672858108215,2.7919999999998035,0.0,0.0,0.0,0.0
2.7929999999998034,0.871864087765094,,,,,,,,,,,,,,,,,,,,,,,,,,2.7929999999998034,-0.0049693632559139715,0.1183785107286373,0.04940477027002084,-0.38212271716100804,-0.01831160504739491,-0.009956367869546413,0.0006774209460606011,0.007640486510576754,2.7929999999998034,0.0,0.0,0.0,0.0
2.7939999999998033,0.8723983709285593,,,,,,,,,,,,,,,,,,,,,,,,,,2.7939999999998033,-0.028826019183653684,-0.09156165510759592,-0.04574119442582747,0.39546302347517187,-0.01697928557463786,-0.00450346113460145,0.0030845407262264342,-0.01029942917243792,2.7939999999998033,0.0,0.0,0.0,0.0
2.794999999999803,0.8729335730386728,,,,,,,,,,,,,,,,,,,,,,,,,,2.794999999999803,0.11710425640606875,-0.12264750654968735,-0.07944072979844866,-0.5,0.10964191774117252,0.05525068202694152,0.0026161683636633346,0.007523173937635213,2.794999999999803,0.0,0.0,0.0,0.0
2.795999999999803,0.8734690870974774,,,,,,,,,,,,,,,,,,,,,,,,,,2.795999999999803,0.03610514178602468,0.035276032177808815,0.13704634573455907,0.4849344371959407,0.018169091107360515,-0.001203364466435675,-0.0014158263055149254,0.007245021398968573,2.795999999999803,0.0,0.0,0.0,0.0
